06.05.2025;Антон;Куликов;Аркадьевич;Лида;Беларусь
12.05.2025;Инна;Сорокина;Юрьевна;Краснодар;Россия
19.05.2025;Руслан;Андреев;Леонидович;Новополоцк;Беларусь
25.05.2025;Милана;Королёва;Витальевна;Новосибирск;Россия
01.06.2025;Георгий;Филиппов;Борисович;Слуцк;Беларусь
07.06.2025;Зоя;Давыдова;Константиновна;Сочи;Россия
14.06.2025;Леонид;Гусев;Анатольевич;Солигорск;Беларусь
20.06.2025;Любовь;Титова;Васильевна;Екатеринбург;Россия
27.06.2025;Станислав;Ершов;Антонович;Полоцк;Беларусь
03.07.2025;Нина;Панова;Фёдоровна;Ростов-на-Дону;Россия
10.07.2025;Валентин;Лазарев;Григорьевич;Жлобин;Беларусь
16.07.2025;Галина;Суворова;Рудольфовна;Нижний Новгород;Россия
23.07.2025;Эдуард;Нестеров;Арсеньевич;Мозырь;Беларусь
29.07.2025;Раиса;Селезнёва;Борисовна;Великий Новгород;Россия
05.08.2025;Анатолий;Дорофеев;Филиппович;Молодечно;Беларусь
11.08.2025;Таисия;Быкова;Леонидовна;Архангельск;Россия
18.08.2025;Пётр;Коновалов;Антонович;Речица;Беларусь
24.08.2025;Вероника;Демидова;Анатольевна;Ижевск;Россия
31.08.2025;Марк;Калинин;Петрович;Борисов;Беларусь
06.09.2025;Карина;Абрамова;Андреевна;Омск;Россия
13.09.2025;Семён;Широков;Олегович;Светлогорск;Беларусь
19.09.2025;Алла;Казакова;Игоревна;Рязань;Россия
26.09.2025;Фёдор;Медведев;Михайлович;Кобрин;Беларусь
02.10.2025;Василиса;Ефимова;Сергеевна;Пенза;Россия
09.10.2025;Захар;Матвеев;Романович;Волковыск;Беларусь
15.10.2025;Элина;Блинова;Дмитриевна;Курск;Россия
22.10.2025;Мирон;Сафонов;Алексеевич;Кричев;Беларусь
28.10.2025;Лилия;Капустина;Павловна;Белгород;Россия
04.11.2025;Родион;Харитонов;Викторович;Осиповичи;Беларусь
10.11.2025;Антонина;Шубина;Николаевна;Тверь;Россия
17.11.2025;Виталий;Игнатьев;Ильич;Берёза;Беларусь
23.11.2025;Эльвира;Крюкова;Валерьевна;Томск;Россия
30.11.2025;Савелий;Муравьёв;Евгеньевич;Поставы;Беларусь
06.12.2025;Кристина;Рябова;Геннадьевна;Уфа;Россия
13.12.2025;Назар;Терентьев;Степанович;Сморгонь;Беларусь
19.12.2025;Майя;Молчанова;Вадимовна;Челябинск;Россия
26.12.2025;Альберт;Зуев;Аркадьевич;Новогрудок;Беларусь
02.01.2026;Тамара;Кудряшова;Юрьевна;Саратов;Россия
09.01.2026;Владимир;Третьяков;Леонидович;Дзержинск;Беларусь
15.01.2026;Лидия;Колесникова;Витальевна;Владимир;Россия
22.01.2026;Григорий;Субботин;Борисович;Несвиж;Беларусь
28.01.2026;Арина;Елисеева;Константиновна;Смоленск;Россия
04.02.2026;Евгений;Логинов;Анатольевич;Заславль;Беларусь
10.02.2026;Жанна;Носова;Васильевна;Брянск;Россия
17.02.2026;Ростислав;Ушаков;Антонович;Марьина Горка;Беларусь
23.02.2026;Агата;Голубева;Фёдоровна;Орёл;Россия
